name,date,date-iso,time,location,description,link,image,image_alt,past,type
Unix command line fundamentals,"Wednesday, February 19, 2025",2025-02-19,1:00pm - 3:00pm,The Catalyst (Parks 199),,https://iastate.libcal.com/event/13895636,,,,workshop
Starting a digital humanities project,"Tuesday, February 25, 2025",2025-02-25,2:10pm - 3:25pm,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13905594,,,,workshop
Git basics for absolute beginners,"Wednesday, February 26, 2025",2025-02-26,1:30pm - 3:00pm,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13905595,,,,workshop
Teaching with Twine,"Tuesday, March 4, 2025",2025-03-04,2:10pm - 3:25pm,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13905601,,,,workshop
Unix and Git basics follow up,"Wednesday, March 5, 2025",2025-03-05,1:30pm - 3:00pm,The Catalyst (Parks 199) ,,https://iastate.libcal.com/event/13905602,,,,workshop
ArcGIS Online Essentials: Intro to Map Viewer,"Tuesday, September 16, 2025",2025-09-16,2:00-3:30pm,The Catalyst (Parks 199),"Participants in this workshops will get an introduction to ArcGIS Map Viewer and the basic concepts, data sources, and tools for mapping and spatial analysis. Participants will get hands-on experience and create a map using ArcGIS Online.",https://iastate.libcal.com/event/15034636,,,true,workshop
Data Viz 101: Effective Design,"Monday, September 22, 2025",2025-09-22,11:00-noon,The Catalyst (Parks 199),"Join us for a one-hour seminar focused on creating effective and appealing data visualizations. Participants will learn how design choices can make or break a data viz and how simple changes can lead to big improvements. We'll cover topics such as text and fonts, color, layout, and labels.",https://iastate.libcal.com/event/15085749,,,true,workshop
Introducing the Iowa Geographic Map Server,"Tuesday, September 23, 2025",2025-09-23,2:00-3:00pm,The Catalyst (Parks 199),"The Iowa Geographic Map Server is managed by the ISU GIS Facility and provides free access to Iowa geographic map data through online map viewers and web map services. Whether within a GIS program, such as any of the ArcGIS products or QGIS, or just from a browser, the data provided can be added for viewing and analyzing. Come learn what data is available and how you can use it.",https://iastate.libcal.com/event/15314746,,,true,workshop
Creating a Google Website,"Tuesday, September 30, 2025",2025-09-30,2:10-3:25pm,The Catalyst (Parks 199),"Creating a simple website can be frustrating and overwhelming, especially if you have very little or no web design or coding experience. If you want to quickly create a website with no coding or design experience, but with the ability to collaborate with others in real time, try Google Sites and see if this might benefit your needs. Google Sites is a free web-based web creation tool that will get your website up and running in very little time.",https://iastate.libcal.com/event/15085635,,,true,workshop
ArcGIS Online Essentials: StoryMaps,"Tuesday, October 7, 2025",2025-10-07,2:00-3:30pm,The Catalyst (Parks 199),"Join our interactive workshop on ArcGIS StoryMaps. Learn to weave maps, data, and other media into a compelling narrative. This session will guide participants through the process of creating and sharing StoryMaps. Perfect for instructors, researchers, and anyone with a story to tell. No prior GIS experience required, but attendance at the Introduction to ArcGIS Online workshop is encouraged.",https://iastate.libcal.com/event/15086036,,,true,workshop
Basic Data Cleaning with OpenRefine,"Wednesday, October 15, 2025",2025-10-15,2:00-3:30pm,The Catalyst (Parks 199),"Faster than Excel, easier than Python, OpenRefine is a free and open-source software designed for cleaning and transforming data. This hands-on workshop will demonstrate OpenRefine’s most powerful features including easily identifying and merging similar records, fixing data entry errors, cross-referencing datasets, and more! This is a beginner-level workshop, no prior experience is needed, and sample data will be provided.",https://iastate.libcal.com/event/15102507,,,true,workshop
Strikingly Workshop,"Tuesday, October 21, 2025",2025-10-21,2:10-3:25pm,The Catalyst (Parks 199),"Join us for a hands-on workshop on building a blog using Strikingly, a user-friendly website builder ideal for beginners. This session will provide a clear overview of the platform, including a comparison between free and paid plans so you can choose what best fits your goals. We’ll explore key tools and techniques for designing a visually appealing and functional blog—no coding required. From layout selection to content creation tips, you’ll leave with practical skills to launch your own site. A detailed handout will be provided to guide you through each step, both during and after the session. Whether you're starting a personal blog or a work portfolio, this workshop will get you up and running with confidence.",https://iastate.libcal.com/event/15102882,,,true,workshop
How Can ArcGIS Business Analyst Help Me?,"Tuesday, October 28, 2025",2025-10-28,2:00-3:00pm,The Catalyst (Parks 199),"ArcGIS Business Analyst is a location-based market and community intelligence software that combines demographic, business, lifestyle, spending, and census data with map-based analytics for smart decision-making. Access global ArcGIS Business Analyst data via 15,000+ variable options from more than 130 countries, including demographics, business locations, consumer spending, and market potential, at multiple geographies, from national to block group levels, for the entire United States.",https://iastate.libcal.com/event/15314856,,,true,workshop
Exploring Free Tools for Text Analysis,"Wednesday, November 6, 2025",2025-11-06,2:10-3:25pm,The Catalyst (Parks 199),"In this hands-on workshop, participants will explore several free tools for text analysis: AntConc for concordancing and n-gram analysis, jsLDA for topic modeling, and Voyant Tools for a range of analysis and visualization methods. This session is ideal for those new to text analysis or looking to expand their toolkit. No programming experience is required, and a sample text corpus will be provided.",https://iastate.libcal.com/event/15102949,,,true,workshop
Intro to DataShare and the ISU Digital Repository,"Tuesday, November 11, 2025",2025-11-11,11:00-11:50am,The Catalyst (Parks 199),"Do you want your research to be read by as many people as possible? Do you need to comply with federal requirements for making your scholarship and data publically available? The library can help! In this workshop, we'll cover how ISU's open access respositories--DataShare and and the Digital Repository--can help ISU faculty, students, and staff share and perserve paper and data publications. You'll learn how to add publications to these systems and about benefits, like tracking statistics, stable links, and author profiles.",https://iastate.libcal.com/event/15102965,,,true,workshop
